Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL,Thana,Year,adm3_pcode
Flat,Bachelor House Rent,"Adabor, Dhaka",3,2,3000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31038/bachelor,Adabor,2023,BD302602                                          
Flat,Bachelor House Rent,"Adabor, Dhaka",3,2,2800,April,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/30700/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",3,2,2600,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/33422/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,17000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/74274/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Monsurabad, Adabor",1,1,10000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/71200/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,10000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36661/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,9500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/42829/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,9000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/81151/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,9000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/72721/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,9000,July,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/58554/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,9000,May,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/56240/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,9000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/48368/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,9000,January,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/45447/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,9000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/38306/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,9000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/34554/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/92924/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,8500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/38078/bachelor,Adabor,2023,BD302602                                          
