Rental_type,Bedroom,Bathroom,Rent,Month_Available,Gender_Suitability,Location,Area,adm3_pcode
Seat,1,1,3500,August,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3500,August,Female,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3500,August,Male,"KaderabadHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,3500,August,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3500,August,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Room,1,1,3500,July,Male,"ChandrimaModelTown,Mohammadpur",mohammadpur,BD302650
Seat,1,1,3500,July,Male,"KaderabadHousingSociety,Mohammadpur",mohammadpur,BD302650
Seat,1,1,3500,July,Female,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3500,September,Male,"Mohammadpur,Dhaka",mohammadpur,BD302650
Seat,1,1,3500,September,Male,"MohammadiaHousingSociety,Mohammadpur",mohammadpur,BD302650
Room,1,1,3500,September,Male,"Manda,Mugda",mugda,BD302688
Seat,1,1,3500,August,Male,"Shantinagar,Paltan",paltan,BD302665
Seat,1,1,3500,August,Male,"Moghbazar,Ramna",ramna,BD302666
Seat,1,1,3500,August,Male,"Moghbazar,Ramna",ramna,BD302666
Seat,1,1,3500,August,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,3500,August,Male,"Banasree,Rampura",rampura,BD302667
Seat,1,1,3500,September,Male,"SouthBanasree,Rampura",rampura,BD302667
Seat,1,1,3500,August,Male,"Malibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,August,Male,"Malibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,August,Male,"Shantibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,August,Female,"Malibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,August,Male,"Siddheswari,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,August,Male,"Malibag,Shahjahanpur",shahjahanpur,BD302650
Room,1,1,3500,August,Male,"Malibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,July,Male,"Shahjahanpur,Dhaka",shahjahanpur,BD302650
Seat,1,1,3500,September,Female,"Shantibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,September,Male,"Malibag,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,September,Female,"Mouchak,Shahjahanpur",shahjahanpur,BD302650
Seat,1,1,3500,August,Male,"Farmgate,Tejgaon",tejgaon,BD302690
Seat,1,1,3500,August,Male,"RajaBazar,Tejgaon",tejgaon,BD302690
